Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2017-07-03,48193,130240,228473,3243,316
2017-07-04,49924,146441,228669,4929,315
2017-07-05,60321,149487,228908,1886,267
2017-07-06,62147,140767,229085,1646,264
2017-07-07,44068,103656,229241,1283,216
2017-07-08,55015,146438,229453,4138,333
2017-07-09,57118,159914,229680,4471,340
2017-07-10,60908,141463,229933,1546,359
2017-07-11,61670,141463,230159,1269,227
2017-07-12,61786,132874,230336,1376,179
2017-07-13,56475,126527,230514,1322,180
2017-07-14,31851,70477,230610,570,101
2017-07-15,56499,148067,230772,4761,378
2017-07-16,56833,153666,230981,4497,308
2017-07-17,62555,141323,231225,1675,289
2017-07-18,66234,144623,231416,1724,243
2017-07-19,63916,143277,231603,1617,267
2017-07-20,59665,131871,231741,1439,229
2017-07-21,60074,136330,231882,1929,304
2017-07-22,48013,124272,232049,3634,332
2017-07-23,46945,117035,232212,3164,249
2017-07-24,43793,104460,232359,989,113
2017-07-25,65339,148542,232521,1549,285
2017-07-26,70329,168603,232674,2054,248
2017-07-27,65773,144443,232820,1666,214
2017-07-28,63911,151514,232984,2293,297
2017-07-29,52955,132509,233138,4085,324
2017-07-30,59364,165423,233360,5214,376
2017-07-31,64231,153123,233614,1862,263
2017-08-01,66676,147654,233824,1813,272
2017-08-02,56179,122622,233958,3291,139
2017-08-03,66144,146858,234160,1849,257
2017-08-04,56391,128749,234312,2212,325
2017-08-05,58966,169511,234524,5299,415
2017-08-06,56473,161492,234715,4686,292
2017-08-07,23395,55927,234851,249,34
2017-08-08,65228,145901,235084,1738,331
2017-08-09,67874,170524,235283,1952,300
2017-08-10,66245,151415,235457,1834,262
2017-08-11,63134,147098,235623,2360,358
2017-08-12,60531,173581,235890,5409,405
2017-08-13,57511,162040,236098,4755,337
2017-08-14,61460,139535,236328,1816,294
2017-08-15,52460,105695,236504,948,125
2017-08-16,68434,159032,236681,1905,251
2017-08-17,66654,156810,236872,2087,261
2017-08-18,36619,90704,236984,840,124
2017-08-19,62440,186037,237324,5992,461
2017-08-20,55438,147379,237518,4218,313
2017-08-21,61055,138059,237710,1832,277
2017-08-22,60541,133409,237878,1477,260
2017-08-23,65069,141360,238057,1712,219
2017-08-24,66306,151449,238257,1820,315
2017-08-25,64217,156344,238406,2316,325
2017-08-26,50111,132832,238546,3621,214
2017-08-27,54594,145524,238771,4135,278
2017-08-28,60885,133126,239016,1616,272
2017-08-29,35151,67448,239163,424,104
2017-08-30,65328,147325,239347,1760,309
2017-08-31,64881,144852,239519,1727,260
2017-09-01,54881,129382,239653,1775,294
2017-09-02,37810,107949,239785,3359,420
2017-09-03,30955,83988,239906,2394,175
2017-09-04,55284,164623,240126,5298,362
2017-09-05,65443,140362,240378,1607,265
2017-09-06,42318,86395,240541,445,90
2017-09-07,69571,148669,240750,1542,356
2017-09-08,69616,154397,240903,1976,322
2017-09-09,60187,150847,241108,4196,272
2017-09-10,60750,154588,241329,4056,301
2017-09-11,71964,166177,241563,1992,276
2017-09-12,74623,161263,241775,1737,238
2017-09-13,69616,146802,241991,1471,199
2017-09-14,72128,150535,242211,1551,244
2017-09-15,72361,160138,242393,2088,323
2017-09-16,61077,156839,242552,4304,297
2017-09-17,60003,156834,242748,3869,229
2017-09-18,64207,138078,242968,1387,190
2017-09-19,57977,115451,243128,914,146
2017-09-20,71222,150377,243309,1385,202
2017-09-21,67799,152463,243503,1690,191
2017-09-22,70192,163114,243715,2315,259
2017-09-23,62748,165582,243967,4821,322
2017-09-24,57503,148926,244277,3681,176
2017-09-25,69271,156367,244551,1537,258
2017-09-26,71566,156779,244809,1359,257
2017-09-27,69942,147977,245051,1268,200
2017-09-28,70951,148394,245299,1490,224
2017-09-29,67246,141709,245558,1875,288
2017-09-30,50200,113613,245923,2694,214
2017-10-01,55503,139011,246193,3511,235
2017-10-02,65509,141748,246402,1408,242
2017-10-03,69105,135800,246566,1258,194
2017-10-04,71453,150324,246742,1377,188
2017-10-05,70173,150437,246893,1365,251
2017-10-06,70249,148395,247025,2104,383
2017-10-07,63630,153928,247206,4996,356
2017-10-08,41039,100790,247336,2233,192
2017-10-09,38390,78912,247453,594,84
2017-10-10,74117,155978,247615,2016,312
2017-10-11,63587,126748,247767,1146,161
2017-10-12,61244,123433,247896,1070,169
2017-10-13,67016,136608,248038,1768,308
2017-10-14,58771,142476,248167,3680,347
2017-10-15,56529,137364,248382,3381,276
2017-10-16,61729,125800,248552,997,192
2017-10-17,64480,122345,248712,1030,170
2017-10-18,70233,147842,248878,1202,249
2017-10-19,72311,143664,249016,1491,274
2017-10-20,72174,157255,249162,2246,351
2017-10-21,65872,169402,249378,5093,276
2017-10-22,62148,153444,249596,4596,200
2017-10-23,69273,143899,249825,1659,279
2017-10-24,48077,95599,249930,466,82
2017-10-25,71284,142007,250090,1133,246
2017-10-26,64002,123419,250187,973,191
2017-10-27,69265,139481,250319,1991,352
2017-10-28,61345,143571,250499,4306,317
2017-10-29,9537,20810,250556,213,8
2017-10-30,49246,95502,250681,771,121
2017-10-31,60242,115329,250892,1076,166
2017-11-01,60772,111304,250975,717,125
2017-11-02,70810,144455,251060,1485,291
2017-11-03,71817,147055,251163,2275,335
2017-11-04,53433,120119,251269,3086,243
2017-11-05,34943,76281,251349,1263,80
2017-11-06,57606,116318,251433,1052,133
2017-11-07,36361,69588,251487,643,77
2017-11-08,54211,107852,251537,597,95
2017-11-09,58416,113119,251591,837,171
2017-11-10,38432,74794,251614,425,82
2017-11-11,28142,55350,251657,832,64
2017-11-12,32471,73187,251699,1191,62
2017-11-13,38752,72112,251751,314,47
2017-11-14,52278,95328,251802,493,59
2017-11-15,54230,104590,251842,524,70
2017-11-16,49737,93532,251884,521,74
2017-11-17,48989,93476,251928,712,74
2017-11-18,27745,58136,251965,872,53
2017-11-19,31597,66078,252008,1020,64
2017-11-20,45120,85295,252041,501,49
2017-11-21,52448,95288,252075,960,69
2017-11-22,32297,69530,252103,458,64
2017-11-23,13705,32527,252115,806,103
2017-11-24,23723,64012,252151,1129,95
2017-11-25,30510,73542,252184,1995,85
2017-11-26,27180,60652,252227,904,63
2017-11-27,46732,99410,252277,553,46
2017-11-28,51166,97329,252316,455,58
2017-11-29,55290,107040,252365,638,71
2017-11-30,51699,97110,252414,509,83
2017-12-01,50708,99868,252473,695,123
2017-12-02,38922,83660,252514,1513,100
2017-12-03,33728,77915,252561,1037,66
2017-12-04,49630,92142,252618,649,63
2017-12-05,41792,85008,252686,381,57
2017-12-06,46335,87328,252724,368,55
2017-12-07,45367,94653,252761,427,65
2017-12-08,41330,81217,252791,443,58
2017-12-09,10804,20955,252811,112,15
2017-12-10,19815,43621,252830,287,26
2017-12-11,41838,81071,252869,456,38
2017-12-12,42620,88499,252915,262,42
2017-12-13,32623,60051,252942,155,20
2017-12-14,27494,49648,252960,134,10
2017-12-15,22944,41598,252980,130,9
2017-12-16,19060,38766,252992,240,24
2017-12-17,22403,49790,253011,343,27
2017-12-18,40168,79914,253054,409,34
2017-12-19,49503,97301,253087,541,42
2017-12-20,41461,78833,253142,422,40
2017-12-21,37592,70297,253180,386,47
2017-12-22,34338,62387,253212,506,23
2017-12-23,9608,24205,253228,112,10
2017-12-24,13215,37985,253250,492,39
2017-12-25,6479,26767,253293,439,27
2017-12-26,14113,32919,253324,220,29
2017-12-27,16365,31793,253346,234,33
2017-12-28,13419,34438,253365,121,17
2017-12-29,13759,29284,253395,177,17
2017-12-30,5956,13910,253407,53,10
2017-12-31,6569,18326,253443,94,2
